index,rssi
0,-64.0
1,-62.0
2,-53.0
3,-54.0
4,-56.0
5,-63.0
6,-62.0
7,-59.0
8,-63.0
9,-64.0
10,-62.0
11,-63.0
12,-56.0
13,-58.0
14,-59.0
15,-58.0
16,-57.0
17,-62.0
18,-66.0
19,-66.0
20,-66.0
21,-66.0
22,-60.0
23,-58.0
24,-56.0
25,-63.0
26,-63.0
27,-65.0
28,-66.0
29,-59.0
30,-57.0
31,-62.0
32,-58.0
33,-66.0
34,-66.0
35,-66.0
36,-66.0
37,-66.0
38,-59.0
39,-56.0
40,-60.0
41,-60.0
42,-59.0
43,-63.0
44,-62.0
45,-67.0
46,-66.0
47,-60.0
48,-57.0
49,-60.0
50,-57.0
51,-63.0
52,-58.0
53,-64.0
54,-63.0
55,-65.0
56,-65.0
57,-64.0
58,-58.0
59,-58.0
60,-56.0
61,-62.0
62,-58.0
63,-58.0
64,-64.0
65,-65.0
66,-67.0
67,-65.0
68,-56.0
69,-59.0
70,-59.0
71,-62.0
72,-58.0
73,-62.0
74,-58.0
75,-63.0
76,-64.0
77,-64.0
78,-56.0
79,-59.0
80,-63.0
81,-63.0
82,-63.0
83,-58.0
84,-64.0
85,-67.0
86,-65.0
87,-64.0
88,-59.0
89,-57.0
90,-59.0
91,-60.0
92,-63.0
93,-63.0
94,-64.0
95,-65.0
96,-65.0
97,-58.0
98,-58.0
99,-58.0
100,-56.0
101,-62.0
102,-58.0
103,-62.0
104,-58.0
105,-65.0
106,-64.0
107,-65.0
108,-65.0
109,-56.0
110,-58.0
111,-56.0
112,-58.0
113,-58.0
114,-63.0
115,-58.0
116,-65.0
117,-64.0
118,-64.0
119,-63.0
120,-58.0
121,-59.0
122,-56.0
123,-58.0
124,-63.0
125,-58.0
126,-62.0
127,-64.0
128,-66.0
129,-64.0
130,-65.0
131,-64.0
132,-56.0
133,-60.0
134,-56.0
135,-62.0
136,-59.0
137,-63.0
138,-58.0
139,-63.0
140,-64.0
141,-65.0
142,-63.0
143,-56.0
144,-58.0
145,-56.0
146,-58.0
147,-63.0
148,-63.0
149,-58.0
150,-65.0
151,-64.0
152,-65.0
153,-64.0
154,-58.0
155,-56.0
156,-59.0
157,-58.0
158,-63.0
159,-58.0
160,-63.0
161,-64.0
162,-67.0
163,-66.0
164,-59.0
165,-56.0
166,-58.0
167,-63.0
168,-58.0
169,-63.0
170,-65.0
171,-65.0
172,-66.0
173,-66.0
174,-57.0
175,-59.0
176,-60.0
177,-59.0
178,-58.0
179,-63.0
180,-59.0
181,-63.0
182,-65.0
183,-65.0
184,-66.0
185,-65.0
186,-57.0
187,-56.0
188,-59.0
189,-56.0
190,-62.0
191,-58.0
192,-57.0
193,-64.0
194,-64.0
195,-62.0
196,-64.0
197,-56.0
198,-59.0
199,-59.0
200,-59.0
201,-64.0
202,-63.0
203,-59.0
204,-64.0
205,-64.0
206,-64.0
207,-60.0
208,-59.0
209,-58.0
210,-63.0
211,-63.0
212,-58.0
213,-63.0
214,-64.0
215,-63.0
216,-65.0
217,-58.0
218,-57.0
219,-57.0
220,-57.0
221,-59.0
222,-58.0
223,-63.0
224,-58.0
225,-64.0
226,-64.0
227,-64.0
228,-56.0
229,-57.0
230,-56.0
231,-59.0
232,-58.0
233,-62.0
234,-58.0
235,-62.0
236,-62.0
237,-62.0
238,-66.0
239,-63.0
240,-56.0
241,-59.0
242,-62.0
243,-58.0
244,-62.0
245,-62.0
246,-62.0
247,-65.0
248,-62.0
249,-56.0
250,-59.0
251,-56.0
252,-62.0
253,-62.0
254,-58.0
255,-62.0
256,-64.0
257,-62.0
258,-59.0
259,-56.0
260,-58.0
261,-58.0
262,-63.0
263,-62.0
264,-62.0
265,-63.0
266,-65.0
267,-62.0
268,-62.0
269,-59.0
270,-59.0
271,-58.0
272,-56.0
273,-62.0
274,-58.0
275,-62.0
276,-62.0
277,-62.0
278,-62.0
279,-63.0
280,-56.0
281,-56.0
282,-59.0
283,-58.0
284,-63.0
285,-58.0
286,-66.0
287,-66.0
288,-66.0
289,-66.0
290,-60.0
291,-56.0
292,-59.0
293,-65.0
294,-65.0
295,-65.0
296,-64.0
297,-60.0
298,-60.0
299,-56.0
300,-64.0
301,-64.0
302,-59.0
303,-64.0
304,-67.0
305,-65.0
306,-59.0
307,-56.0
308,-59.0
309,-56.0
310,-63.0
311,-64.0
312,-73.0
313,-72.0
314,-58.0
315,-58.0
316,-58.0
317,-55.0
318,-62.0
319,-58.0
320,-63.0
321,-58.0
322,-65.0
323,-65.0
324,-67.0
325,-64.0
326,-56.0
327,-58.0
328,-55.0
329,-56.0
330,-59.0
331,-59.0
332,-64.0
333,-59.0
334,-66.0
335,-66.0
336,-66.0
337,-65.0
338,-65.0
339,-56.0
340,-58.0
341,-58.0
342,-58.0
343,-63.0
344,-63.0
345,-64.0
346,-59.0
347,-66.0
348,-68.0
349,-65.0
350,-67.0
351,-58.0
352,-58.0
353,-56.0
354,-58.0
355,-64.0
356,-58.0
357,-63.0
358,-66.0
359,-66.0
360,-67.0
361,-58.0
362,-58.0
363,-64.0
364,-64.0
365,-60.0
366,-64.0
367,-66.0
368,-68.0
369,-69.0
370,-64.0
371,-56.0
372,-65.0
373,-65.0
374,-65.0
375,-60.0
376,-65.0
377,-68.0
378,-65.0
379,-56.0
380,-59.0
381,-56.0
382,-65.0
383,-64.0
384,-64.0
385,-64.0
386,-66.0
387,-65.0
388,-66.0
389,-56.0
390,-56.0
391,-59.0
392,-56.0
393,-64.0
394,-59.0
395,-65.0
396,-60.0
397,-66.0
398,-66.0
399,-56.0
400,-59.0
401,-56.0
402,-59.0
403,-64.0
404,-64.0
405,-64.0
406,-59.0
407,-65.0
408,-68.0
409,-65.0
410,-58.0
411,-59.0
412,-58.0
413,-59.0
414,-58.0
415,-59.0
416,-63.0
417,-69.0
418,-68.0
419,-60.0
420,-59.0
421,-58.0
422,-59.0
423,-59.0
424,-60.0
425,-64.0
426,-64.0
427,-68.0
428,-65.0
429,-56.0
430,-56.0
431,-58.0
432,-66.0
433,-59.0
434,-64.0
435,-60.0
436,-70.0
437,-66.0
438,-57.0
439,-58.0
440,-58.0
441,-64.0
442,-59.0
443,-61.0
444,-60.0
445,-67.0
446,-69.0
447,-66.0
448,-55.0
449,-56.0
450,-58.0
451,-61.0
452,-66.0
453,-66.0
454,-64.0
455,-58.0
456,-58.0
457,-56.0
458,-58.0
459,-60.0
460,-60.0
461,-59.0
462,-59.0
463,-67.0
464,-68.0
465,-68.0
466,-57.0
467,-56.0
468,-57.0
469,-56.0
470,-60.0
471,-60.0
472,-60.0
473,-61.0
474,-67.0
475,-67.0
476,-70.0
477,-57.0
478,-56.0
479,-59.0
480,-59.0
481,-58.0
482,-62.0
483,-68.0
484,-65.0
485,-68.0
486,-70.0
487,-57.0
488,-68.0
489,-56.0
490,-56.0
491,-57.0
492,-57.0
493,-59.0
494,-60.0
495,-60.0
496,-59.0
497,-68.0
498,-68.0
499,-68.0
500,-67.0
501,-57.0
502,-57.0
503,-57.0
504,-57.0
505,-60.0
506,-60.0
507,-60.0
508,-64.0
509,-69.0
510,-68.0
511,-65.0
512,-56.0
513,-56.0
514,-56.0
515,-56.0
516,-60.0
517,-60.0
518,-60.0
519,-60.0
520,-63.0
521,-66.0
522,-66.0
523,-57.0
524,-57.0
525,-57.0
526,-57.0
527,-60.0
528,-60.0
529,-60.0
530,-68.0
531,-67.0
532,-55.0
533,-56.0
534,-54.0
535,-66.0
536,-59.0
537,-64.0
538,-64.0
539,-67.0
540,-66.0
541,-65.0
542,-56.0
543,-58.0
544,-56.0
545,-59.0
546,-63.0
547,-60.0
548,-60.0
549,-60.0
550,-65.0
551,-65.0
552,-65.0
553,-58.0
554,-57.0
555,-58.0
556,-59.0
557,-58.0
558,-62.0
559,-58.0
560,-64.0
561,-67.0
562,-66.0
563,-57.0
564,-56.0
565,-57.0
566,-59.0
567,-59.0
568,-59.0
569,-59.0
570,-66.0
571,-67.0
572,-67.0
573,-67.0
574,-57.0
575,-57.0
576,-57.0
577,-57.0
578,-59.0
579,-59.0
580,-59.0
581,-59.0
582,-65.0
583,-64.0
584,-67.0
585,-57.0
586,-57.0
587,-56.0
588,-58.0
589,-60.0
590,-58.0
591,-59.0
592,-66.0
593,-66.0
594,-62.0
595,-69.0
596,-57.0
597,-57.0
598,-60.0
599,-58.0
600,-59.0
601,-60.0
602,-66.0
603,-65.0
604,-66.0
605,-56.0
606,-57.0
607,-57.0
608,-57.0
609,-60.0
610,-60.0
