index,rssi
456,-58.0
457,-57.0
458,-57.0
459,-56.0
460,-55.0
461,-55.0
462,-55.0
463,-59.0
464,-59.0
465,-60.0
466,-60.0
467,-60.0
468,-57.0
469,-57.0
470,-57.0
471,-59.0
472,-60.0
473,-60.0
474,-58.0
475,-58.0
476,-58.0
477,-58.0
478,-56.0
479,-56.0
480,-60.0
481,-60.0
482,-60.0
483,-60.0
484,-59.0
485,-60.0
486,-58.0
487,-57.0
488,-56.0
489,-55.0
490,-57.0
491,-61.0
492,-62.0
493,-59.0
494,-55.0
495,-57.0
496,-60.0
497,-57.0
498,-58.0
499,-57.0
500,-56.0
501,-59.0
502,-60.0
503,-59.0
504,-60.0
505,-60.0
506,-60.0
507,-59.0
508,-58.0
509,-56.0
510,-56.0
511,-60.0
512,-60.0
513,-59.0
514,-60.0
515,-58.0
516,-59.0
517,-59.0
518,-57.0
519,-57.0
520,-58.0
521,-58.0
522,-61.0
523,-60.0
524,-58.0
525,-58.0
526,-59.0
527,-56.0
528,-57.0
529,-56.0
530,-55.0
531,-62.0
532,-61.0
533,-60.0
534,-60.0
535,-58.0
536,-60.0
537,-58.0
538,-56.0
539,-54.0
540,-56.0
541,-56.0
542,-60.0
543,-61.0
544,-60.0
545,-58.0
546,-58.0
547,-62.0
548,-59.0
549,-56.0
550,-59.0
551,-60.0
552,-60.0
553,-60.0
554,-60.0
555,-58.0
556,-58.0
557,-56.0
558,-55.0
559,-60.0
560,-59.0
561,-59.0
562,-59.0
563,-58.0
564,-57.0
565,-59.0
566,-58.0
567,-57.0
568,-57.0
569,-56.0
570,-60.0
571,-60.0
572,-60.0
573,-57.0
574,-60.0
575,-57.0
576,-58.0
577,-56.0
578,-54.0
579,-55.0
580,-56.0
581,-58.0
582,-60.0
583,-59.0
584,-57.0
585,-58.0
586,-58.0
587,-59.0
588,-56.0
589,-56.0
590,-56.0
591,-59.0
592,-59.0
593,-60.0
594,-60.0
595,-57.0
596,-58.0
597,-57.0
598,-54.0
599,-55.0
600,-55.0
601,-55.0
602,-61.0
603,-56.0
604,-56.0
605,-55.0
606,-56.0
607,-54.0
608,-56.0
609,-54.0
610,-56.0
611,-60.0
612,-60.0
613,-57.0
614,-57.0
615,-57.0
616,-58.0
617,-56.0
